key,title,description,time,calories,tags,ingredients,steps
"bibimbap","Jeonju Bibimbap","A colorful bowl of rice topped with sautéed vegetables, beef, and a fried egg, mixed with spicy Gochujang.","40 mins","580","Korean | Healthy | Colorful","2 cups Steamed rice | Sautéed Spinach, Bean sprouts, Carrots | 100g Ground beef | 1 Egg | 2 tbsp Gochujang (Korean chili paste)","Step 1: The Toppings. Sauté each vegetable separately with sesame oil and salt. | Step 2: The Beef. Cook ground beef with soy sauce and sugar. | Step 3: The Assembly. Place rice in a bowl, arrange vegetables and beef in a circle on top. | Step 4: The Egg. Fry an egg sunny-side up and place in center. | Step 5: The Mix. Add a large dollop of Gochujang and mix vigorously before eating."
"pho bo","Hanoi-Style Beef Pho","A delicate, aromatic beef noodle soup with star anise, ginger, and charred onions.","180 mins","450","Vietnamese | Light | Aromatic","Flat rice noodles | Beef marrow bones | Thinly sliced raw beef | Star anise, Cinnamon, Ginger | Bean sprouts, Basil, Lime","Step 1: The Broth. Char ginger and onions. Simmer bones with spices for at least 3 hours. | Step 2: The Noodles. Soften rice noodles in warm water. | Step 3: The Assembly. Place noodles and raw beef in a bowl. Pour boiling broth over to cook the beef instantly. | Step 4: Garnish. Serve with a handful of fresh herbs and a squeeze of lime."
"paella","Authentic Paella Valenciana","The pride of Spain, featuring saffron-infused Bomba rice, rabbit, chicken, and green beans.","60 mins","620","Spanish | Festive | One-Pan","2 cups Bomba rice | Saffron threads | Chicken and Rabbit pieces | Garrofon (lima beans) | Tomato purée | Rosemary","Step 1: The Socarrat. Sauté meat until deeply browned. This flavor base is crucial. | Step 2: The Broth. Add water, saffron, and beans. Simmer to create a rich stock. | Step 3: The Rice. Add rice in a cross shape. Do not stir again. | Step 4: The Crust. Cook until all liquid is absorbed and a crispy crust (Socarrat) forms at the bottom."
"fish and chips","Classic British Fish and Chips","Beer-battered Atlantic cod served with thick-cut triple-cooked chips.","45 mins","850","British | Crispy | Traditional","Cod fillets | Flour, Cornstarch | Cold Beer | Thick-cut potatoes | Mushy peas","Step 1: The Chips. Parboil, then fry potatoes twice for maximum crunch. | Step 2: The Batter. Whisk flour and beer until the consistency of heavy cream. | Step 3: The Fry. Dip fish in batter and fry in 180°C oil until golden. | Step 4: Serving. Serve with malt vinegar and sea salt."
"poutine","Quebec Style Poutine","The Canadian classic. Crispy fries topped with squeaky cheese curds and a rich brown gravy.","20 mins","880","Canadian | Street Food | Indulgent | Classic","Russet Fries | Fresh Cheese Curds | Brown Gravy (Beef or Chicken based)","Step 1: The Fries. Deep-fry potatoes until dark golden and crispy. | Step 2: The Curds. Ensure cheese curds are room temperature for the perfect 'squeak'. | Step 3: The Layering. Place hot fries in a bowl and scatter curds over them. | Step 4: The Melt. Pour scalding hot gravy over the top, partially melting the cheese. Serve immediately."
"moussaka","Traditional Greek Moussaka","Layered eggplant and spiced lamb bake topped with a thick, creamy Béchamel sauce.","75 mins","680","Greek | Rich | Baked","Eggplants, sliced | Ground lamb | Tomato paste, Cinnamon | Béchamel sauce (Milk, Flour, Butter) | Kefalotyri cheese","Step 1: The Veg. Fry eggplant slices until golden. | Step 2: The Meat. Sauté lamb with onions, tomato, and a hint of cinnamon. | Step 3: The Layers. Layer eggplant and meat sauce in a baking dish. | Step 4: The Bake. Spread Béchamel on top and bake until golden and bubbling."
"lasagna","Lasagna alla Bolognese","Green spinach pasta layers with slow-cooked ragù, silky Béchamel, and Parmigiano-Reggiano.","120 mins","740","Italian | Rich | Traditional","Lasagna sheets | Ragù Bolognese (Beef/Pork blend) | Béchamel sauce | Parmigiano-Reggiano","Step 1: The Ragù. Simmer meat with soffritto and milk for 3 hours. | Step 2: The Assembly. Layer pasta, ragù, and Béchamel. Repeat 5 times. | Step 3: The Crust. Top with a thick layer of Parmigiano. | Step 4: The Bake. Bake at 180°C until edges are crispy and center is molten."
"pasta carbonara","Authentic Roman Pasta Carbonara","The quintessential Roman pasta, relying on the emulsion of Pecorino Romano, eggs, and guanciale.","20 mins","480","Italian | Quick | Comfort Food","400g Spaghetti | 150g Guanciale (or Pancetta) | 4 Large egg yolks | 1 Whole egg | 100g Pecorino Romano, grated | Black pepper","Step 1: The Guanciale. Sauté diced guanciale until crispy and fat is rendered. | Step 2: The Egg Mixture. Whisk eggs and yolks with 80% of the Pecorino and plenty of black pepper. | Step 3: The Pasta. Boil spaghetti until 'al dente'. Reserve 1/2 cup pasta water. | Step 4: The Emulsion. Off heat, toss pasta with guanciale fat, then quickly stir in egg mixture and reserved water to create a creamy sauce. Do not scramble. | Step 5: Plating. Serve topped with remaining Pecorino and more black pepper."
"margherita pizza","Classic Neapolitan Pizza Margherita","The gold standard of pizza, featuring the colors of the Italian flag.","15 mins","650","Italian | Vegetarian | Classic","250g Neapolitan Pizza Dough | 80g San Marzano Tomato sauce | 100g Fresh Buffalo Mozzarella | Fresh Basil leaves | Extra virgin olive oil","Step 1: The Stretch. Hand-stretch dough to 12 inches. | Step 2: The Topping. Spread tomato sauce, add torn mozzarella and basil. | Step 3: The Bake. Cook in a 900°F wood-fired oven for 90 seconds (or 500°F home oven for 8 mins). | Step 4: The Finish. Drizzle with olive oil."
"tacos al pastor","Mexico City Tacos Al Pastor","Achiote-marinated pork roasted on a vertical spit, served with pineapple.","45 mins","420","Mexican | Street Food | Spicy","1 lb Pork shoulder, thinly sliced | Achiote paste | Pineapple slices | Corn tortillas | Cilantro, Onions, Lime","Step 1: The Marinade. Coat pork in achiote, vinegar, and spices for 12 hours. | Step 2: The Roast. Sear pork in a hot pan until charred and crispy. | Step 3: The Assembly. Serve on warm tortillas with a sliver of roasted pineapple, onions, and cilantro."
"ramen","Hakata-Style Tonkotsu Ramen","Rich, creamy pork bone broth with thin, straight noodles.","120 mins","750","Japanese | Rich | Umami","Tonkotsu Broth | Ramen noodles | Chashu pork belly slices | Soft-boiled Ajitama egg | Green onions | Nori","Step 1: The Broth. Simmer pork bones for 12 hours until milky (use high-quality store base for 120m version). | Step 2: The Noodles. Boil noodles for exactly 90 seconds. | Step 3: The Assembly. Place noodles in hot broth, top with chashu, halved egg, and scallions."
"pad thai","Royal Street-Style Pad Thai","The quintessential Thai stir-fried noodle dish with a perfect balance of sweet, sour, and salty.","25 mins","540","Thai | Quick | Stir-fry","Rice noodles | Shrimp or Tofu | Tamarind paste | Palm sugar | Fish sauce | Peanuts | Bean sprouts","Step 1: The Sauce. Mix tamarind, palm sugar, and fish sauce in a 1:1:1 ratio. | Step 2: The Stir-fry. Sauté protein, then add soaked noodles and sauce. | Step 3: The Egg. Scramble an egg on the side of the pan and fold into noodles. | Step 4: Plating. Serve with crushed peanuts, bean sprouts, and a lime wedge."
"coq au vin","Classic French Coq Au Vin","Chicken braised in red wine with pearl onions, mushrooms, and lardon.","90 mins","580","French | Braising | Classic","Whole chicken, jointed | Bottle of Burgundy red wine | Bacon lardons | Pearl onions | Button mushrooms","Step 1: The Sear. Brown chicken in bacon fat. | Step 2: The Braise. Add wine, aromatics, and simmer for 1 hour. | Step 3: The Sauce. Reduce the liquid until it coats the back of a spoon. | Step 4: Plating. Serve with buttery mashed potatoes."
"shakshuka","Maghrebi Shakshuka","Eggs poached in a vibrant, spiced tomato and pepper sauce.","25 mins","320","Middle Eastern | Breakfast | Vegetarian","4 Eggs | 2 cups Tomato purée | Red bell pepper, diced | Harissa paste | Cumin, Paprika | Feta cheese","Step 1: The Base. Sauté peppers and onions until soft. Add spices and tomatoes. | Step 2: The Poach. Make wells in the sauce and crack in eggs. | Step 3: The Finish. Cover and cook until whites are set but yolks are runny. Top with feta and cilantro."
"cheeseburger","The Ultimate Smash Cheeseburger","Double patty, melted American cheese, and caramelized crust on a brioche bun.","15 mins","780","American | Classic | Guilty Pleasure","8oz Ground beef (80/20) | American cheese slices | Brioche bun | Pickles | Special sauce (Mayo/Ketchup/Relish)","Step 1: The Smash. Press beef balls onto a smoking hot griddle until thin. | Step 2: The Crust. Cook for 2 mins until a deep brown crust forms. Flip and add cheese. | Step 3: The Assembly. Toast buns, apply sauce, and stack double patties with pickles."
"sushi","Edomae-Style Sushi Nigiri","A masterclass in balance, featuring seasoned Shari rice and premium Tsukiji-grade seafood.","45 mins","320","High Protein | Low Carb","2 cups Sushi rice (Koshihikari) | 1/2 cup Rice vinegar, 2 tbsp Sugar, 1 tsp Salt (for Tezu) | 1 lb Sashimi-grade Tuna (Maguro) or Salmon (Sake) | Wasabi root, freshly grated | Pickled ginger (Gari), Soy sauce (Shoyu)","Step 1: The Rice Foundation (Shari). Rinse rice until water runs crystal clear. Cook with slightly less water than usual. While hot, fold in the vinegar mixture using a slicing motion with a Shamoji. | Step 2: The Slicing Technique (Sashimi). Using a Yanagiba knife, slice the chilled fish at a 45-degree angle into 2.5-inch long, 1/4-inch thick rectangular pieces. | Step 3: The Nigiri Form. Wet your hands with Tezu water. Take exactly **20g of rice** and form an oblong shape. Apply a **pea-sized dot** of wasabi to the fish slice. | Step 4: The Marriage. Place the fish over the rice. Use two fingers to gently press and shape the nigiri. It should be firm enough to hold but airy enough to melt. | Step 5: The Glaze. Brush a thin layer of Nikiri (sweetened soy) over the fish. Serve immediately at room temperature for maximum flavor profile."
"tikka masala","Heritage Chicken Tikka Masala","A two-stage culinary journey involving a 24-hour yogurt marinade and a rich, charred tomato gravy.","60 mins","520","High Protein | Comfort Food","2 lbs Boneless chicken thighs, cubed | 1 cup Full-fat Greek yogurt | 3 tbsp Ginger-garlic paste | 2 tbsp Kashmiri chili powder | 1 tbsp Kasuri Methi (dried fenugreek leaves) | 1 cup Heavy cream or Cashew paste","Step 1: The Butchery. Trim excess fat from the **2 lbs of chicken thighs**. Using a sharp chef's knife, cut the meat into uniform 1.5-inch cubes. | Step 2: The Primary Marination. Coat chicken in **2 tbsp lemon juice** and a **pinch of salt** for 20 minutes to break down fibers. | Step 3: The Secondary Marination. Whisk the **1 cup yogurt** with the **3 tbsp ginger-garlic paste** and **2 tbsp chili powder**. Submerge chicken and refrigerate for 24 hours. | Step 4: The Tandoor Mimic. Thread chicken on skewers. Broil at maximum heat (500°F+) for 12 minutes until charred 'tikka' spots appear. | Step 5: The Gravy Base. Sauté onions in **2 tbsp ghee** until deeply caramelized. Add tomato purée and cook until oil separates. | Step 6: The Infusion. Stir in charred chicken. Add the **1 cup heavy cream** and a **tablespoon of hand-crushed Kasuri Methi**. Simmer for 10 minutes until thick and glossy. | Step 7: The Aesthetic Assembly. Ladle the curry into a bowl. Swirl **1 tbsp of heavy cream** in a spiral on top. Finish with a **scattering (handful)** of fresh cilantro leaves."
"misal pav","Authentic Kolhapuri Misal Pav","A fiery sprouted moth bean curry from Maharashtra, layered with textures and topped with a spicy 'Katt' (oil broth).","40 mins","450","Spicy | Vegetarian","2 cups Sprouted moth beans (Matki) | 1/2 cup Grated dry coconut (Khopra), toasted | 2 Large onions, finely minced | 3 tbsp Goda Masala (Marathi spice blend) | 1 cup Farsan (savory snack mix) | 6 Fresh Pav (soft bread rolls) | Handful of chopped onions and lime wedges","Step 1: The Sprout Prep. Steam the **2 cups of matki** with a **pinch of turmeric and salt** until just tender. | Step 2: The Vatan (Masala Base). Grind toasted coconut with ginger and garlic into a smooth paste. This is the heart of the Marathi flavor profile. | Step 3: The Tempering. Heat **4 tbsp oil** (essential for the 'Katt'). Sauté onions until golden, then add the Vatan and **3 tbsp Goda Masala**. | Step 4: The Curry Assembly. Add the steamed matki and **3 cups of water**. Simmer until a thick layer of spicy red oil (Katt) floats on top. | Step 5: The Layering. In a deep bowl, place a **large ladle** of the matki curry. Top with a **handful of farsan**. | Step 6: The Katt Pour. Pour the spicy red broth (Katt) over the farsan. Garnish with minced onions and cilantro. | Step 7: Plating. Serve with buttered Pav, a lemon wedge, and a **small bowl** of extra Katt on the side."
"puran poli","Artisanal Marathi Puran Poli","A delicate, sweet flatbread stuffed with a fragrant chana dal and jaggery filling, flavored with nutmeg and cardamom.","50 mins","380","Sweet | Vegetarian","1.5 cups Chana Dal (split chickpeas) | 1.5 cups Organic Jaggery, grated | 2 cups Whole wheat flour (Atta) | 1/2 tsp Nutmeg powder, 1 tsp Cardamom powder | Pure Ghee for roasting","Step 1: The Puran Prep. Pressure cook **1.5 cups chana dal** until soft. Drain completely (reserve water for Katachi Amti). | Step 2: The Sweetening. Mash the dal and cook with **1.5 cups jaggery** until the mixture thickens and leaves the sides of the pan. | Step 3: The Sieve Technique. Pass the warm Puran through a 'Puran Yantra' or fine sieve to ensure a perfectly smooth, lump-free texture. | Step 4: The Dough. Knead the **2 cups flour** with oil and water into a very soft, elastic dough. Let rest for 1 hour. | Step 5: The Stuffing. Take a ball of dough, flatten it, and place a **slightly larger ball** of Puran in the center. Seal the edges carefully. | Step 6: The Roll. Using plenty of dry flour, roll the poli into a thin, translucent circle without tearing the skin. | Step 7: The Roast. Cook on a hot griddle with **liberal drizzles of ghee** until golden spots appear and it puffs up. | Step 8: Serving. Serve hot with a **tablespoon of cold ghee** or a bowl of warm milk."
"paneer butter masala","Restaurant-Style Paneer Butter Masala","Velvety, rich tomato-based gravy with soft paneer cubes, finished with cream and honey.","35 mins","480","Rich | Vegetarian","400g Fresh Paneer, cubed | 5 Large tomatoes, puréed | 2 tbsp Cashew paste | 3 tbsp Unsalted butter | 1 tsp Kashmiri red chili powder | 1/4 cup Heavy cream","Step 1: The Paneer Prep. Cut **400g paneer** into 1-inch cubes. Soak in warm water for 10 mins to keep them soft. | Step 2: The Makhani Base. Sauté ginger-garlic paste in **2 tbsp butter**. Add tomato purée and cook until it thickens. | Step 3: The Creaminess. Stir in the **2 tbsp cashew paste** and **1 tsp chili powder**. Cook for 5 mins. | Step 4: The Emulsion. Add the paneer cubes. Stir in the **1/4 cup heavy cream** and the remaining **1 tbsp butter**. | Step 5: The Secret Finish. Add a **pinch of kasuri methi** and a **teaspoon of honey** to balance the acidity. | Step 6: Plating. Garnish with a swirl of cream and fresh cilantro. Serve with garlic naan."
"dal makhani","Presidential Dal Makhani","Slow-cooked black lentils and kidney beans simmered for 24 hours with butter and cream.","240 mins","550","Creamy | Vegetarian","1 cup Whole Black Urad Dal | 1/4 cup Rajma (Kidney beans) | 1/2 cup White butter (Makhan) | 1/2 cup Fresh cream | 1 cup Tomato purée","Step 1: The Soak. Soak **1 cup dal** and **1/4 cup rajma** overnight. | Step 2: The First Simmer. Pressure cook with plenty of water until the dal is completely soft and mashable. | Step 3: The Bhuna. Heat ghee, add ginger-garlic paste and **1 cup tomato purée**. Cook until oil separates. | Step 4: The 24-Hour Secret. Add dal to the masala. Add **1/2 cup butter**. Simmer on lowest heat for at least 4 hours (traditionally overnight). | Step 5: The Finish. Stir in the **1/2 cup cream** and a **pinch of roasted kasuri methi**. | Step 6: Plating. Serve in a clay pot with a swirl of cream and a blob of butter."
"pav bhaji","Chowpatty Style Pav Bhaji","A spicy, buttery mashed vegetable curry served with toasted bread rolls.","35 mins","520","Buttery | Street Food","2 cups Mixed vegetables (Potato, Cauliflower, Peas) | 3 tbsp Pav Bhaji Masala | 1/4 cup Butter | 1 Large onion, minced | 6 Fresh Pav","Step 1: The Mash. Boil **2 cups vegetables**. Mash them into a smooth consistency on a flat griddle (Tawa). | Step 2: The Tadka. Sauté onions and capsicum in **2 tbsp butter**. Add **3 tbsp pav bhaji masala** and a **splash of water**. | Step 3: The Marriage. Mix the mash with the tadka. Add more butter and mash together until vibrant red. | Step 4: The Bread. Slit the **6 pav** and toast on the griddle with **1 tbsp butter** and a **pinch of masala**. | Step 5: Plating. Serve the bhaji with a **huge cube of butter**, chopped onions, cilantro, and a lime wedge."
"vada pav","The Mumbai 'Burger' - Vada Pav","Spiced potato fritter sandwiched in a soft roll with fiery garlic chutney.","30 mins","380","Spicy | Street Food","4 Large potatoes, boiled and mashed | 1 cup Gram flour (Besan) batter | 2 tbsp Dry Garlic Chutney | 4 Fresh Pav | Fried Green Chilies","Step 1: The Aloo Filling. Sauté mashed potatoes with mustard seeds, curry leaves, and green chili paste. | Step 2: The Batter. Dip potato balls in a seasoned **1 cup besan batter**. | Step 3: The Fry. Deep fry until golden brown and crispy. | Step 4: The Assembly. Slit the **pav**, apply a **teaspoon of green chutney** and a **generous sprinkle of garlic chutney**. Place the vada inside. | Step 5: Plating. Serve hot with a salted fried green chili."
"dal tadka","Dhaba Style Dal Tadka","Yellow lentils tempered with aromatic spices, garlic, and dried red chilies.","25 mins","320","Healthy | Vegetarian","1 cup Toor Dal (Pigeon peas) | 2 tbsp Ghee | 1 tsp Cumin seeds, 4 Cloves garlic, minced | 2 Dried red chilies | Pinch of Hing (Asafoetida)","Step 1: The Boil. Cook **1 cup dal** with turmeric and salt until soft. | Step 2: The Base Masala. Sauté onions, ginger, and tomatoes in oil until soft. | Step 3: The Fusion. Mix the boiled dal with the base masala and simmer. | Step 4: The Double Tadka. Heat **2 tbsp ghee** in a small pan. Add cumin, minced garlic, dried red chilies, and a **pinch of hing**. When garlic turns brown, pour over the dal. | Step 5: Plating. Garnish with fresh cilantro and serve with Jeera rice."
"gulab jamun","Royal Gulab Jamun","Soft, melt-in-the-mouth khoya balls soaked in a rose-scented sugar syrup.","60 mins","450","Sweet | Dessert","1 cup Khoya (Milk solids) or Milk powder | 2 cups Sugar (for syrup) | 3-4 Cardamom pods | Rose water, Saffron strands | Ghee for frying","Step 1: The Syrup. Boil **2 cups sugar** with 1 cup water and cardamom until a sticky consistency (one-string) is reached. Add rose water. | Step 2: The Dough. Knead **1 cup khoya** with a **tablespoon of flour** into a smooth, crack-free dough. | Step 3: The Balls. Form small, smooth balls. Ensure no cracks to prevent bursting. | Step 4: The Ghee Fry. Fry balls in low-heat ghee until deep golden brown. | Step 5: The Soak. Immediately drop hot jamuns into the warm syrup. Let soak for at least 2 hours. | Step 6: Plating. Serve warm with a garnish of slivered pistachios."
"biryani","Hyderabadi Dum Biryani (Kacchi Style)","An aromatic masterpiece where marinated raw meat and parboiled rice are slow-cooked together in a sealed 'Dum' pot.","90 mins","680","Royal | High Protein","1 kg Premium long-grain Basmati rice (aged 2 years) | 1 kg Bone-in goat or chicken, large cuts | 2 cups Fried onions (Biryani), hand-crushed | 1 cup Fresh mint and cilantro, chopped | 4 tbsp Homemade Biryani Masala (shahi jeera, mace, nutmeg, cardamom) | 1/2 cup Pure ghee, 1 cup Full-fat yogurt | Pinch of Saffron soaked in warm milk","Step 1: The Aromatic Prep. Mince the ginger and garlic. Slice red onions into translucent, paper-thin rings. Chiffonade a **handful of mint** and a **handful of cilantro stems**. | Step 2: The Meat Marination. Massage the **1 kg of meat** with ginger-garlic paste, the **1 cup yogurt**, and **4 tbsp Biryani masala**. Marinate for at least 4 hours. | Step 3: The Rice Parboiling. Boil water with whole spices. Add the **1 kg of soaked rice**. Cook until exactly 70% done. | Step 4: The Layering. Place marinated meat at bottom. Layer with the **mint, cilantro**, and **1 cup of fried onions**. Spread rice on top. | Step 5: The Dum Sealing. Drizzle the **saffron milk** and **1/2 cup ghee** over rice. Seal the pot edges with a dough made of flour and water (Atta). | Step 6: The Slow Cook. Cook on lowest heat for 45 minutes. Let it rest for 15 minutes before opening. | Step 7: The Royal Presentation. Plate on a large sharing platter. Garnish with a **final handful** of fried onions and fresh mint. Serve with raita."
